PROVINCIA,COMUNE,TIPOLOGIA,STELLE,DENOMINAZIONE,INDIRIZZO,NUMERO CIVICO,CAP
BELLUNO,BELLUNO,ALBERGO,3,MIRELLA,Via Don Minzoni,6,32100
BELLUNO,BELLUNO,ALBERGO,3,O' SCUGNIZZO DUE,Via Marisiga,69,32100
BELLUNO,BELLUNO,ALBERGO,4,PARK HOTEL VILLA CARPENADA,Via Mier,158,32100
BELLUNO,BELLUNO,ALBERGO,4,PARK HOTEL VILLA CARPENADA - DIPENDENZA,VIA MIER,158,32100
BELLUNO,BELLUNO,ALTRA RICETTIVITA',,AGOSTI,Piazza San Giovanni Bosco,12,32100
BELLUNO,BELLUNO,ALTRA RICETTIVITA',,AL CENTRO,Piazza Piloni,11,32100
BELLUNO,BELLUNO,APPARTAMENTO,,DE GUSTO DOLOMITI,Via Sagrogna,35,32100
BELLUNO,BELLUNO,APPARTAMENTO,,TALAMINI DANIELE,VIA RAMO,4,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,AL SOLE DI CAVESSAGO,via della vigna,44,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B & B  VILLA EDERA,Via del Boscon,256 - loc. Salce,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B & B LA CERVA,Via Paoletti,7/B,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B ACQUARIANA-BELLUNO,via A. dell'Oro,24,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B AL PALASPORT,Via Matteo Cesa,37,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B AL SAMARON,via Castelet,40,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B ALLA VECCHIA FONTANA,via Antole,24,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B BORGO GARIBALDI,via Garibaldi,95,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B COL DEL VIN,via Col del Vin,109,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B COLLI'S DOLOMITES,Via Visome,211 B,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B ELENA,Via Collungo,47,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B LA GUSELA,via S. Antonio,29,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B LA VIGNETTA,via La Vignetta,17,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,B&B MARIA CRISTINA,Via Antonio da Tisoi,39/a - Frazione Tisoi,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,BED & BREAKFAST GLI AMICI,via De Amicis,182,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,BED & BREAKFAST MINA,Via De Min,10/b,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,BED & BREAKFAST RUMAC,via Agordo,9/A,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,BED & BREAKFAST VILLA BUZZATI,Via Visome,18 - loc. Anconetta,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,BED AND BREAKFAST GIARDINI DELL'ARDO DI LUCA DOCCI,Via Bolzano,50,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,BED AND BREAKFAST MONTE SCHIARA,Via Bortot,18,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,BELLAVISTA B & B,Via Fiammoi,104 - loc. Fiammoi,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,BORGO DEI 'NDREE,Via Formazioni Partigiane,74 - Frazione Cirvoi,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,CENTRO STORICO,Via Torricelle,6/C - Centro storico,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,CIRVOI BELLAVISTA,via Cirvoi,102,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,DAL CAPO,via Mier,172,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,PARCO DOLOMITI FISTERRE B&B,Via Michele Cappellari,55 - loc. Fisterre,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,VILLA ALLA COSTA,Via Pedecastello,40 - loc. Castion,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,VILLA CAMPANA,Via S. Lorenzo,102,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,VILLA FULCIS,Via del Boscon,369,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,VILLA RACHELE BED & BREAKFAST,Via Andrea Di Foro,161,32100
BELLUNO,BELLUNO,BED AND BREAKFAST,,VILLA RUDIO,via G. Dassi,150,32100
BELLUNO,BELLUNO,RIFUGIO,,ANGELO BRISTOT,Località Col Torónt,,32100
BELLUNO,BELLUNO,RIFUGIO,,5° ARTIGLIERIA ALPINA,Località Col Visentìn,,32100
BELLUNO,BELLUNO,RIFUGIO,,7° ALPINI,Località Pis Pilon,,32100
BELLUNO,BORCA DI CADORE,ALBERGO,4,ANTELAO SPORT & WELLNESS,Via Roma,11,32040
